device_type,brand,model,release_year,os,form_factor,cpu_brand,cpu_model,cpu_tier,cpu_cores,cpu_threads,cpu_base_ghz,cpu_boost_ghz,gpu_brand,gpu_model,gpu_tier,vram_gb,ram_gb,storage_type,storage_gb,storage_drive_count,display_type,display_size_in,resolution,refresh_hz,battery_wh,charger_watts,psu_watts,wifi,bluetooth,weight_kg,warranty_months,price
Desktop,Samsung,Samsung Strix AVI,2019,Windows,Full-Tower,Intel,Intel i5-14499,2,6,12,2.6,3.5,AMD,RX 6000 60,2,6,16,NVMe,256,1,LED,27.0,3840x2160,60,0,0,550,Wi-Fi 6E,5.3,10.0,24,1200.99
Desktop,Apple,Apple Think 5DA,2025,Windows,Micro-ATX,Apple,Apple M3,4,14,14,3.0,3.9,Apple,Apple Integrated,4,2,64,NVMe,512,2,OLED,27.0,2560x1440,60,0,0,550,Wi-Fi 7,5.1,8.0,24,2442.99
Desktop,Lenovo,Lenovo Arena 06P,2021,Windows,SFF,Intel,Intel i5-10105,2,6,12,2.6,3.7,NVIDIA,RTX 40 60,2,6,16,NVMe,256,2,IPS,32.0,1920x1080,60,0,0,550,Wi-Fi 6E,5.1,4.0,12,1142.99
Laptop,Samsung,Samsung Blade BK2,2021,Windows,2-in-1,Intel,Intel i5-14635,2,8,16,2.2,3.2,Intel,Arc A310,1,2,8,SSD,512,1,LED,14.0,1920x1080,120,60,90,0,Wi-Fi 6,5.0,1.37,24,969.99
Laptop,HP,HP Pro KBJ,2024,Windows,Mainstream,AMD,AMD Ryzen 5 7344,3,8,16,2.4,3.4,NVIDIA,RTX 40 60,2,6,16,SSD,512,2,LED,14.0,1920x1080,120,60,90,0,Wi-Fi 5,4.2,1.37,12,1382.99
Laptop,Acer,Acer Think 1M6,2022,Windows,Mainstream,Intel,Intel i3-13813,1,4,8,2.0,3.0,AMD,RX 7000 50,1,4,8,SSD,512,1,QLED,15.6,1920x1080,144,60,90,0,Wi-Fi 5,5.0,1.5,24,1069.99
Laptop,ASUS,ASUS Zen L7M,2019,Windows,2-in-1,Intel,Intel i5-14844,3,8,16,2.4,3.3,NVIDIA,RTX 30 70,3,8,32,NVMe,1024,1,IPS,15.6,1920x1080,90,56,120,0,Wi-Fi 7,5.1,2.0,24,1648.99
Desktop,Samsung,Samsung Station 2D8,2023,Windows,Full-Tower,AMD,AMD Ryzen 5 7939,3,8,16,2.8,3.9,AMD,RX 6000 70,3,8,32,Hybrid,512,1,QLED,24.0,3440x1440,60,0,0,300,Wi-Fi 6,5.2,6.0,24,1915.99
Laptop,Samsung,Samsung Air T5O,2025,Windows,Ultrabook,AMD,AMD Ryzen 5 3264,3,10,20,2.4,3.3,NVIDIA,RTX 30 70,3,8,32,NVMe,2048,1,Mini-LED,17.3,2560x1600,60,70,45,0,Wi-Fi 6E,5.3,1.84,24,2538.99
Laptop,Apple,Apple Nitro CSB,2022,Windows,Mainstream,Apple,Apple M3,2,6,6,2.2,3.2,Apple,Apple Integrated,2,6,16,NVMe,256,1,LED,14.0,2880x1800,60,56,65,0,Wi-Fi 6,5.0,1.17,24,1706.99
Desktop,Gigabyte,Gigabyte Think V1W,2022,Windows,ATX,Intel,Intel i5-11838,2,6,12,2.6,3.7,NVIDIA,RTX 30 70,3,8,16,NVMe,2048,2,QLED,27.0,3840x2160,60,0,0,650,Wi-Fi 6,5.1,8.0,24,1865.99
Desktop,MSI,MSI Creator K64,2021,Windows,ATX,AMD,AMD Ryzen 7 4414,5,16,32,3.2,4.1,AMD,RX 6000 90,6,16,96,NVMe,1024,1,VA,24.0,1920x1080,90,0,0,1000,Wi-Fi 6,5.1,9.0,24,2317.99
Laptop,Apple,Apple Zen 4U3,2024,Windows,Ultrabook,Apple,Apple M1,3,10,10,2.4,3.5,Apple,Apple Integrated,2,4,16,HDD,256,1,IPS,15.6,1920x1080,60,56,90,0,Wi-Fi 5,5.2,2.5,36,1768.99
Laptop,HP,HP Blade F4K,2022,macOS,Ultrabook,AMD,AMD Ryzen 7 3630,5,16,32,2.8,3.8,NVIDIA,RTX 30 80 Ti,5,12,96,Hybrid,1024,1,IPS,17.3,1920x1080,60,90,120,0,Wi-Fi 5,5.0,1.84,48,2805.99
Laptop,Lenovo,Lenovo Blade J8E,2023,macOS,Gaming,Intel,Intel i5-11827,2,6,12,2.2,3.0,Intel,Arc A580,3,4,16,Hybrid,512,1,LED,14.0,2560x1600,60,70,90,0,Wi-Fi 6,5.3,0.97,12,2034.99
Laptop,Apple,Apple Zen DAZ,2024,macOS,2-in-1,Apple,Apple M1 Max,4,12,12,2.6,3.6,Apple,Apple Integrated,2,4,32,SSD,1024,2,LED,14.0,1920x1080,60,70,120,0,Wi-Fi 6E,5.0,1.87,24,1862.99
Laptop,Acer,Acer Creator Q7S,2022,Windows,Gaming,Intel,Intel i5-11451,2,6,12,2.2,3.1,Intel,Arc A310,1,2,8,SSD,512,1,OLED,15.6,1920x1080,144,56,90,0,Wi-Fi 6,5.0,1.3,24,1559.99
Laptop,Lenovo,Lenovo Slim QH3,2022,Windows,Ultrabook,Intel,Intel i5-11252,2,6,12,2.2,3.2,NVIDIA,RTX 40 50,1,4,8,NVMe,512,1,QLED,14.0,2560x1600,60,90,45,0,Wi-Fi 5,5.0,1.37,36,1634.99
Laptop,HP,HP Zen PCS,2022,Linux,Mainstream,AMD,AMD Ryzen 5 7246,3,8,16,2.4,3.3,Intel,Arc B380,2,0,16,NVMe,1024,1,VA,14.0,3840x2160,60,50,120,0,Wi-Fi 6E,5.2,2.37,12,1911.99
Desktop,Lenovo,Lenovo Pro QP5,2023,Windows,Micro-ATX,AMD,AMD Ryzen 7 4849,4,16,32,3.0,4.1,NVIDIA,RTX 40 70,3,8,32,SSD,256,4,VA,27.0,1920x1080,60,0,0,450,Wi-Fi 5,5.1,6.0,24,1319.99
Laptop,Samsung,Samsung Pro 7SU,2024,Windows,Gaming,Intel,Intel i5-10821,3,8,16,2.4,3.4,NVIDIA,RTX 40 70,3,8,32,SSD,256,2,Mini-LED,15.6,1920x1080,60,56,120,0,Wi-Fi 5,5.2,2.0,12,2150.99
Laptop,Razer,Razer Slim BFU,2019,Windows,Mainstream,AMD,AMD Ryzen 5 4532,3,8,16,2.4,3.2,AMD,RX 6000 70,3,8,32,SSD,2048,1,Mini-LED,14.0,1920x1080,60,90,90,0,Wi-Fi 6,5.1,1.37,24,2139.99
Laptop,HP,HP Nitro PL6,2021,macOS,2-in-1,AMD,AMD Ryzen 3 6133,1,4,8,2.0,3.0,AMD,RX 6000 50,1,4,8,NVMe,512,1,LED,15.6,1920x1080,90,70,240,0,Wi-Fi 6,5.1,2.0,24,1107.99
Laptop,MSI,MSI Slim LW9,2023,Linux,Ultrabook,Intel,Intel i5-11704,2,8,16,2.2,3.3,NVIDIA,RTX 40 60,2,6,16,SSD,1024,1,OLED,14.0,1920x1080,60,50,120,0,Wi-Fi 5,5.0,2.37,12,1651.99
Desktop,Lenovo,Lenovo Think 0UB,2019,Windows,ATX,AMD,AMD Ryzen 7 6777,4,14,28,3.0,3.9,NVIDIA,RTX 40 70,3,8,32,SSD,256,2,QLED,24.0,2560x1440,120,0,0,1200,Wi-Fi 6,5.2,5.0,12,1805.99
Laptop,ASUS,ASUS Blade 9J8,2024,Windows,Gaming,Intel,Intel i7-12386,5,16,32,2.8,3.7,NVIDIA,RTX 40 80 Ti,5,12,96,HDD,512,1,Mini-LED,14.0,1920x1080,60,90,120,0,Wi-Fi 5,5.2,1.17,12,2405.99
Desktop,HP,HP Pro OIZ,2020,Windows,Micro-ATX,Intel,Intel i5-11619,3,8,16,2.8,3.7,NVIDIA,RTX 40 70,3,8,32,NVMe,512,1,LED,27.0,3440x1440,60,0,0,450,Wi-Fi 6,5.0,6.0,12,1633.99
Desktop,ASUS,ASUS Pro F2N,2019,Windows,ATX,Intel,Intel i7-14332,4,12,24,3.0,3.8,NVIDIA,RTX 40 80 Ti,5,12,64,NVMe,512,1,LED,27.0,1920x1080,60,0,0,650,Wi-Fi 6E,5.3,4.0,12,1673.99
Laptop,HP,HP Nitro 806,2021,Windows,Ultrabook,AMD,AMD Ryzen 5 5358,2,8,16,2.2,3.3,NVIDIA,RTX 30 60,2,6,16,NVMe,1024,1,OLED,15.6,1920x1080,60,60,45,0,Wi-Fi 5,5.1,1.3,12,1456.99
Desktop,HP,HP Arena 0HW,2024,Windows,ATX,Intel,Intel i5-11350,3,8,16,2.8,3.8,NVIDIA,RTX 30 80,4,10,32,SSD,256,2,IPS,24.0,1920x1080,120,0,0,850,Wi-Fi 6,5.3,7.0,12,1527.99
Laptop,MSI,MSI Nitro ZVI,2024,macOS,Ultrabook,AMD,AMD Ryzen 5 6872,2,6,12,2.2,3.0,AMD,RX 6000 70,3,8,16,NVMe,1024,1,VA,15.6,1920x1080,120,90,90,0,Wi-Fi 7,5.3,2.0,36,2208.99
Laptop,Dell,Dell Stealth S81,2023,Windows,2-in-1,AMD,AMD Ryzen 7 6106,4,14,28,2.6,3.7,NVIDIA,RTX 30 80,4,10,64,NVMe,1024,1,QLED,14.0,1920x1080,60,80,180,0,Wi-Fi 5,5.3,1.37,36,2447.99
Laptop,HP,HP Blade 2I3,2025,Windows,Gaming,AMD,AMD Ryzen 5 3993,2,6,12,2.2,3.3,Apple,Apple Integrated,3,0,16,HDD,256,1,IPS,15.6,1920x1080,120,50,45,0,Wi-Fi 6,5.2,3.0,48,1436.99
Desktop,HP,HP Station QYD,2019,Windows,Micro-ATX,AMD,AMD Ryzen 7 6476,4,12,24,3.0,3.9,NVIDIA,RTX 20 80,4,10,64,SSD,2048,3,OLED,32.0,3440x1440,60,0,0,1000,Wi-Fi 6,5.3,9.0,24,2217.99
Laptop,ASUS,ASUS Pro EKL,2021,Windows,Gaming,Intel,Intel i5-11918,2,6,12,2.2,3.1,NVIDIA,RTX 40 50,1,4,16,NVMe,512,1,LED,15.6,1920x1080,120,60,65,0,Wi-Fi 6,5.1,1.7,24,1160.99
Laptop,Gigabyte,Gigabyte Slim GCS,2021,Windows,Ultrabook,Intel,Intel i9-13185,6,26,52,3.0,4.1,Apple,Apple Integrated,5,2,96,NVMe,512,1,QLED,16.0,1920x1080,165,70,45,0,Wi-Fi 6,5.2,1.53,24,2532.99
Laptop,MSI,MSI Stealth I3Y,2025,ChromeOS,Gaming,Intel,Intel i7-13813,4,12,24,2.6,3.5,NVIDIA,RTX 30 80,4,10,64,HDD,2048,1,LED,14.0,1920x1080,60,60,65,0,Wi-Fi 5,5.3,1.57,24,1691.99
Laptop,HP,HP Think XY6,2023,Windows,2-in-1,AMD,AMD Ryzen 7 4294,4,12,24,2.6,3.6,NVIDIA,RTX 30 70,3,8,32,NVMe,1024,1,LED,15.6,1920x1080,60,90,90,0,Wi-Fi 6,5.1,1.7,12,1734.99
Desktop,ASUS,ASUS Arena 3GR,2022,Windows,ATX,AMD,AMD Ryzen 3 7345,1,4,8,2.4,3.3,NVIDIA,RTX 30 50,1,4,8,NVMe,256,1,Mini-LED,27.0,2560x1440,120,0,0,550,Wi-Fi 6E,5.2,12.0,24,1069.99
Laptop,Razer,Razer Blade 0I1,2019,Windows,Gaming,AMD,AMD Ryzen 7 4640,4,12,24,2.6,3.6,AMD,RX 6000 80 XT,5,12,72,Hybrid,512,1,LED,15.6,3840x2160,120,70,90,0,Wi-Fi 7,5.3,2.0,12,3014.99
Laptop,MSI,MSI Stealth FO0,2023,Windows,Mainstream,Intel,Intel i5-14192,2,8,16,2.2,3.1,NVIDIA,RTX 30 50,1,4,8,SSD,512,1,OLED,15.6,1920x1080,60,70,180,0,Wi-Fi 6,5.2,1.7,12,1381.99
Laptop,MSI,MSI Nitro OWS,2023,Windows,Gaming,AMD,AMD Ryzen 7 6246,5,16,32,2.8,3.6,NVIDIA,RTX 40 80 Ti,5,12,96,HDD,1024,1,LED,15.6,2880x1800,60,50,180,0,Wi-Fi 6E,5.3,2.0,12,2731.99
Desktop,Samsung,Samsung Forge 006,2023,Windows,ATX,Intel,Intel i7-14506,4,12,24,3.0,3.9,NVIDIA,RTX 40 80,4,10,64,Hybrid,1024,1,LED,32.0,1920x1080,120,0,0,750,Wi-Fi 6E,4.2,7.0,24,2060.99
Laptop,Apple,Apple Stealth TRV,2025,Windows,Gaming,Apple,Apple M1 Pro,4,12,12,2.6,3.5,Apple,Apple Integrated,4,0,64,SSD,256,1,OLED,15.6,1920x1080,60,80,90,0,Wi-Fi 7,5.1,1.5,48,2564.99
Laptop,Apple,Apple Air 7O4,2020,Windows,Ultrabook,Apple,Apple M1 Max,3,10,10,2.4,3.3,Apple,Apple Integrated,2,0,16,Hybrid,1024,1,VA,14.0,1920x1080,165,56,120,0,Wi-Fi 6E,5.0,1.57,36,1919.99
